"Carimbo de data/hora","Você faz parte de qual grupo? ","Como você costuma descobrir eventos, projetos, bolsas, processos seletivos e outras oportunidades da UFLA? ","Quantos canais diferentes você costuma acompanhar para ficar informado(a) sobre oportunidades e atividades da UFLA?","Você já descobriu uma oportunidade da UFLA tarde demais para participar?","Se sim, o que aconteceu?","Você já deixou de participar de alguma oportunidade da UFLA porque não ficou sabendo dela a tempo?","  Se existisse uma plataforma que reunisse oportunidades da UFLA em um único lugar, o quanto ela seria útil para você?  ","Quais recursos seriam mais úteis em uma plataforma desse tipo?","  Se quiser, conte brevemente alguma situação em que você perdeu ou quase perdeu uma oportunidade da UFLA por não ter ficado sabendo a tempo.  "
"2026/09/14 9:59:42 PM GMT-3","Graduação","Instagram;E-mail institucional;Colegas/amigos","1 canal","Sim","Descobri depois que as inscrições haviam terminado;Descobri depois que o evento havia acontecido;Descobri quando já não havia mais vagas","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por câmpus;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades",""
"2026/09/14 10:01:48 PM GMT-3","Técnico-administrativo(a)","E-mail institucional","2 canais","Sim","Descobri depois que as inscrições haviam terminado","Sim","4","Buscar oportunidades por categoria;Filtrar por curso;Receber recomendações relacionadas aos meus interesses;Receber lembretes de inscrições e eventos",""
"2026/09/14 10:19:00 PM GMT-3","Graduação","E-mail institucional;Site oficial da UFLA;Professores","3 canais","Sim","Descobri depois que as inscrições haviam terminado;Descobri depois que o evento havia acontecido","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por câmpus;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades",""
"2026/09/14 10:30:55 PM GMT-3","Graduação","E-mail institucional","2 canais","Sim","Não consegui encontrar informações suficientes a tempo","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades",""
"2026/09/14 10:31:02 PM GMT-3","Professor(a)","Instagram;SIG/UFLA;Site oficial da UFLA","3 canais","Sim","Descobri depois que as inscrições haviam terminado;Descobri depois que o evento havia acontecido","Sim","5","Receber recomendações relacionadas aos meus interesses;Receber notificações sobre novas oportunidades",""
"2026/09/14 10:32:22 PM GMT-3","Graduação","WhatsApp;E-mail institucional","1 canal","Não tenho certeza","Não se aplica","Não tenho certeza","5","Buscar oportunidades por categoria;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos",""
"2026/09/14 10:39:58 PM GMT-3","Graduação","Instagram;E-mail institucional;Professores;Colegas/amigos","5 ou mais canais","Sim","Descobri depois que as inscrições haviam terminado","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Receber recomendações relacionadas aos meus interesses;Receber lembretes de inscrições e eventos",""
"2026/09/14 10:50:36 PM GMT-3","Graduação","Instagram;E-mail institucional;Professores;Colegas/amigos","2 canais","Não tenho certeza","Não se aplica","Não tenho certeza","5","Buscar oportunidades por categoria;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades",""
"2026/09/14 11:00:27 PM GMT-3","Graduação","E-mail institucional;SIG/UFLA;Colegas/amigos;Núcleos, grupos ou projetos","1 canal","Sim","Descobri depois que as inscrições haviam terminado;Descobri depois que o evento havia acontecido;Descobri quando já não havia mais vagas","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por câmpus;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades",""
"2026/09/14 11:01:14 PM GMT-3","Graduação","E-mail institucional;Colegas/amigos","2 canais","Sim","Descobri depois que o evento havia acontecido","Sim","5","Receber recomendações relacionadas aos meus interesses",""
"2026/09/14 11:35:43 PM GMT-3","Graduação","E-mail institucional;Colegas/amigos","2 canais","Não tenho certeza","Descobri depois que as inscrições haviam terminado","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Receber recomendações relacionadas aos meus interesses",""
"2026/09/15 1:01:58 AM GMT-3","Graduação","Instagram;Colegas/amigos","4 canais","Sim","Não consegui encontrar informações suficientes a tempo","Sim","5","Buscar oportunidades por categoria;Filtrar por câmpus;Filtrar por período/data;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades","Um dia estava procurando sobre determinada bolsa, aí não achava a informação, só apareciam coisas antigas, porém continuava procurando, porém quando achei já havia passado as incrições. "
"2026/09/15 1:13:17 AM GMT-3","Graduação","Instagram;WhatsApp;E-mail institucional;Colegas/amigos","2 canais","Sim","Descobri depois que as inscrições haviam terminado;Descobri depois que o evento havia acontecido","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por câmpus;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades",""
"2026/09/15 11:20:37 AM GMT-3","Graduação","E-mail institucional","2 canais","Sim","Descobri depois que as inscrições haviam terminado","Sim","5","Filtrar por curso",""
"2026/09/15 12:37:49 PM GMT-3","Egresso","Instagram;WhatsApp;E-mail institucional;Colegas/amigos","2 canais","Sim","Descobri depois que as inscrições haviam terminado;Descobri depois que o evento havia acontecido","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos",""
"2026/09/16 5:56:23 PM GMT-3","Graduação","E-mail institucional","1 canal","Sim","Descobri depois que as inscrições haviam terminado;Descobri depois que o evento havia acontecido;Não consegui encontrar informações suficientes a tempo","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos",""
